Date (MM/DD/YYYY),Time (HH:mm:ss),Temp °C,Turbidity FNU
5/6/2021,14:00:00,3.26,0.82
5/6/2021,15:00:00,3.13,1.22
5/6/2021,16:00:00,3.043,1.38
5/6/2021,17:00:00,2.862,2.44
5/6/2021,18:00:00,2.679,1.51
5/6/2021,19:00:00,2.505,1.84
5/6/2021,20:00:00,2.352,5.12
5/6/2021,21:00:00,2.234,1.39
5/6/2021,22:00:00,2.158,1.4
5/6/2021,23:00:00,2.095,1.16
5/7/2021,0:00:00,2.052,1.12
5/7/2021,1:00:00,2.024,1.08
5/7/2021,2:00:00,2.024,0.94
5/7/2021,3:00:00,2.033,1.07
5/7/2021,4:00:00,2.049,0.95
5/7/2021,5:00:00,2.068,1.05
5/7/2021,6:00:00,2.094,0.9
5/7/2021,7:00:00,2.124,1.08
5/7/2021,8:00:00,2.14,1.14
5/7/2021,9:00:00,2.172,1.38
5/7/2021,10:00:00,2.218,1.62
5/7/2021,11:00:00,2.283,1.6
5/7/2021,12:00:00,2.428,1.74
5/7/2021,13:00:00,2.477,1.47
5/7/2021,14:00:00,2.45,1.5
5/7/2021,15:00:00,2.353,1.26
5/7/2021,16:00:00,2.304,1.15
5/7/2021,17:00:00,2.241,1.25
5/7/2021,18:00:00,2.183,1.11
5/7/2021,19:00:00,2.141,0.98
5/7/2021,20:00:00,2.081,0.89
5/7/2021,21:00:00,2.04,0.89
5/7/2021,22:00:00,2.009,0.81
5/7/2021,23:00:00,1.994,1.27
5/8/2021,0:00:00,1.987,0.8
5/8/2021,1:00:00,1.991,0.7
5/8/2021,2:00:00,2.002,0.67
5/8/2021,3:00:00,2.016,0.66
5/8/2021,4:00:00,2.03,0.74
5/8/2021,5:00:00,2.036,0.64
5/8/2021,6:00:00,2.041,0.71
5/8/2021,7:00:00,2.108,0.73
5/8/2021,8:00:00,2.233,0.61
5/8/2021,9:00:00,2.338,0.72
5/8/2021,10:00:00,2.459,0.86
5/8/2021,11:00:00,2.551,0.72
5/8/2021,12:00:00,2.591,0.76
5/8/2021,13:00:00,2.621,0.98
5/8/2021,14:00:00,2.639,0.92
5/8/2021,15:00:00,2.733,1.01
5/8/2021,16:00:00,2.706,1.14
5/8/2021,17:00:00,2.651,1.03
5/8/2021,18:00:00,2.519,1.46
5/8/2021,19:00:00,2.454,1.01
5/8/2021,20:00:00,2.334,1
5/8/2021,21:00:00,2.217,0.86
5/8/2021,22:00:00,2.129,0.79
5/8/2021,23:00:00,2.08,0.76
5/9/2021,0:00:00,2.046,0.8
5/9/2021,1:00:00,2.03,0.77
5/9/2021,2:00:00,2.025,0.7
5/9/2021,3:00:00,2.021,0.57
5/9/2021,4:00:00,2.023,0.63
5/9/2021,5:00:00,2.032,0.6
5/9/2021,6:00:00,2.046,0.77
5/9/2021,7:00:00,2.08,0.78
5/9/2021,8:00:00,2.121,0.98
5/9/2021,9:00:00,2.158,0.94
5/9/2021,10:00:00,2.165,0.85
5/9/2021,11:00:00,2.173,0.83
5/9/2021,12:00:00,2.223,0.76
5/9/2021,13:00:00,2.281,0.66
5/9/2021,14:00:00,2.423,0.7
5/9/2021,15:00:00,2.662,0.86
