"","year","date","doy","PIT_tag","Habitat","age_cluster","FL","TL","Weight","mean_Temp_C","mean_Flow_cms"
"1",2021,"2021-05-05",125,NA,"Main_Side","age-1",NA,57,1.8,NA,6.08847762011637
"2",2021,"2021-05-05",125,"93DDF84","Main_Side","age-2",NA,89,6.8,NA,6.08847762011637
"3",2021,"2021-05-11",131,NA,"Main_Side","age-1",56,60,1.6,3.4075800625,4.05336518161471
"4",2021,"2021-05-11",131,NA,"Main_Side","age-1",60,65,2.7,3.4075800625,4.05336518161471
"5",2021,"2021-05-11",131,NA,"Main_Side","age-1",61,65,2.3,3.4075800625,4.05336518161471
"6",2021,"2021-05-11",131,NA,"Main_Side","age-1",57,60,1.6,3.4075800625,4.05336518161471
"7",2021,"2021-05-11",131,NA,"Main_Side","age-1",56,61,1.9,3.4075800625,4.05336518161471
"8",2021,"2021-05-11",131,NA,"Main_Side","age-1",55,59,1.6,3.4075800625,4.05336518161471
"9",2021,"2021-05-11",131,NA,"Main_Side","age-1",65,71,2.9,3.4075800625,4.05336518161471
"10",2021,"2021-05-11",131,"93DDF76","Main_Side","age-2",95,104,7.9,3.4075800625,4.05336518161471
"11",2021,"2021-05-11",131,NA,"Main_Side","age-1",64,68,2.6,3.4075800625,4.05336518161471
"12",2021,"2021-05-11",131,NA,"Main_Side","age-1",53,56,1.3,3.4075800625,4.05336518161471
"13",2021,"2021-05-11",131,NA,"Main_Side","age-1",52,57,1.6,3.4075800625,4.05336518161471
"14",2021,"2021-05-11",131,NA,"Main_Side","age-1",62,67,2.5,3.4075800625,4.05336518161471
"15",2021,"2021-05-11",131,NA,"Main_Side","age-1",62,67,2.3,3.4075800625,4.05336518161471
"16",2021,"2021-05-11",131,NA,"Main_Side","age-1",50,55,1.3,3.4075800625,4.05336518161471
"17",2021,"2021-05-11",131,"93DDF36","Main_Side","age-2",87,93,5.7,3.4075800625,4.05336518161471
"18",2021,"2021-05-11",131,"93DDF42","Main_Side","age-2",91,99,7,3.4075800625,4.05336518161471
"19",2021,"2021-05-11",131,"93DDF2D","Main_Side","age-2",96,105,8.8,3.4075800625,4.05336518161471
"20",2021,"2021-05-11",131,"93DDF3C","Main","age-2",92,99,7.4,3.4075800625,4.05336518161471
"21",2021,"2021-05-14",134,"93DDEF0","Seep","age-2",99,108,9.5,3.33912666666667,4.02444375052337
"22",2021,"2021-05-14",134,NA,"Seep","age-1",62,67,2.5,3.33912666666667,4.02444375052337
"23",2021,"2021-05-14",134,NA,"Seep","age-1",62,67,2.2,3.33912666666667,4.02444375052337
"24",2021,"2021-05-14",134,NA,"Seep","age-1",62,66,2.3,3.33912666666667,4.02444375052337
"25",2021,"2021-05-14",134,NA,"Seep","age-1",61,66,2.3,3.33912666666667,4.02444375052337
"26",2021,"2021-05-14",134,NA,"Seep","age-1",57,62,2,3.33912666666667,4.02444375052337
"27",2021,"2021-05-14",134,NA,"Main_Side","age-1",59,64,2.1,3.33912666666667,4.02444375052337
"28",2021,"2021-05-14",134,NA,"Main_Side","age-1",53,58,1.5,3.33912666666667,4.02444375052337
"29",2021,"2021-05-14",134,NA,"Main_Side","age-1",57,62,1.8,3.33912666666667,4.02444375052337
"30",2021,"2021-05-14",134,NA,"Main_Side","age-1",54,59,1.8,3.33912666666667,4.02444375052337
"31",2021,"2021-05-14",134,NA,"Main_Side","age-1",47,51,1,3.33912666666667,4.02444375052337
"32",2021,"2021-05-18",138,NA,"Main_Side","age-1",51,56,1.4,3.97116454166667,3.67466041866995
"33",2021,"2021-05-18",138,NA,"Main_Side","age-1",58,64,2,3.97116454166667,3.67466041866995
"34",2021,"2021-05-18",138,NA,"Main_Side","age-1",66,70,2.7,3.97116454166667,3.67466041866995
"35",2021,"2021-05-18",138,NA,"Main_Side","age-1",62,67,2.3,3.97116454166667,3.67466041866995
"36",2021,"2021-05-18",138,NA,"Main_Side","age-2",97,107,9.7,3.97116454166667,3.67466041866995
"37",2021,"2021-05-18",138,NA,"Main_Side","age-2",81,87,5.4,3.97116454166667,3.67466041866995
"38",2021,"2021-05-18",138,NA,"Main_Side","age-1",71,77,3.7,3.97116454166667,3.67466041866995
"39",2021,"2021-05-18",138,NA,"Main_Side","age-1",54,59,1.7,3.97116454166667,3.67466041866995
"40",2021,"2021-05-18",138,NA,"Main_Side","age-1",56,61,2,3.97116454166667,3.67466041866995
"41",2021,"2021-05-18",138,NA,"Main_Side","age-1",63,68,2.7,3.97116454166667,3.67466041866995
"42",2021,"2021-05-18",138,NA,"Main_Side","age-2",91,99,8.2,3.97116454166667,3.67466041866995
"43",2021,"2021-05-18",138,NA,"Seep","age-1",61,66,2.3,3.97116454166667,3.67466041866995
"44",2021,"2021-05-18",138,NA,"Seep","age-1",59,63,2.2,3.97116454166667,3.67466041866995
"45",2021,"2021-05-18",138,NA,"Seep","age-1",48,51,1.5,3.97116454166667,3.67466041866995
"46",2021,"2021-05-18",138,NA,"Seep","age-1",62,67,2.4,3.97116454166667,3.67466041866995
"47",2021,"2021-05-18",138,NA,"Seep","age-2",97,107,9.9,3.97116454166667,3.67466041866995
"48",2021,"2021-05-21",141,NA,"Main_Side","age-1",55,59,1.8,4.0017694375,3.98584551861062
"49",2021,"2021-05-21",141,NA,"Main_Side","age-1",47,49,0.8,4.0017694375,3.98584551861062
"50",2021,"2021-05-21",141,NA,"Main_Side","age-1",51,55,1.4,4.0017694375,3.98584551861062
"51",2021,"2021-05-21",141,NA,"Main_Side","age-1",47,52,1.3,4.0017694375,3.98584551861062
"52",2021,"2021-05-21",141,NA,"Main_Side","age-1",55,59,1.7,4.0017694375,3.98584551861062
"53",2021,"2021-05-21",141,NA,"Main_Side","age-1",53,57,1.9,4.0017694375,3.98584551861062
"54",2021,"2021-05-21",141,NA,"Main_Side","age-1",73,79,4,4.0017694375,3.98584551861062
"55",2021,"2021-05-21",141,NA,"Main_Side","age-1",60,64,2.1,4.0017694375,3.98584551861062
"56",2021,"2021-05-21",141,NA,"Main_Side","age-1",65,71,2.9,4.0017694375,3.98584551861062
"57",2021,"2021-05-21",141,NA,"Main_Side","age-1",57,63,2,4.0017694375,3.98584551861062
"58",2021,"2021-05-21",141,NA,"Seep","age-1",57,61,2,4.0017694375,3.98584551861062
"59",2021,"2021-05-21",141,NA,"Seep","age-1",50,54,1.4,4.0017694375,3.98584551861062
"60",2021,"2021-05-21",141,NA,"Seep","age-1",52,56,1.4,4.0017694375,3.98584551861062
"61",2021,"2021-05-21",141,NA,"Seep","age-1",61,66,2.3,4.0017694375,3.98584551861062
"62",2021,"2021-05-21",141,NA,"Seep","age-1",62,67,2.5,4.0017694375,3.98584551861062
"63",2021,"2021-05-21",141,NA,"Seep","age-1",53,56,1.6,4.0017694375,3.98584551861062
"64",2021,"2021-05-21",141,NA,"Seep","age-1",55,59,2.3,4.0017694375,3.98584551861062
"65",2021,"2021-05-21",141,NA,"Seep","age-1",47,51,1.2,4.0017694375,3.98584551861062
"66",2021,"2021-05-26",146,NA,"Main_Side","age-1",45,48,0.9,4.412409625,4.20223522952227
"67",2021,"2021-05-26",146,"93DDF40","Main_Side","age-2",85,92,5.9,4.412409625,4.20223522952227
"68",2021,"2021-05-26",146,NA,"Main_Side","age-1",62,68,2.2,4.412409625,4.20223522952227
"69",2021,"2021-05-26",146,NA,"Main_Side","age-1",53,58,1.5,4.412409625,4.20223522952227
"70",2021,"2021-05-26",146,NA,"Main_Side","age-1",55,61,1.7,4.412409625,4.20223522952227
