"Fish_ID_comp","Date","Fish_ID_day","Trap","Habitat","PIT_tag","Species","FL","TL","Weight","Diet","Fin.Clip","Pink_Salmon_pres_abs","date","doy","age_cluster"
2,"5/5/2021","2",NA,"Main_Side",NA,"Coho",NA,57,1.8,"N","N",0,2021-05-05,125,"age-1"
5,"5/5/2021","5",NA,"Main_Side","93DDF84","Coho",NA,89,6.8,"Y","N",0,2021-05-05,125,"age-2"
9,"5/11/2021","1",NA,"Main_Side",NA,"Coho",56,60,1.6,"Y","N",0,2021-05-11,131,"age-1"
11,"5/11/2021","3",NA,"Main_Side",NA,"Coho",60,65,2.7,"Y","N",0,2021-05-11,131,"age-1"
13,"5/11/2021","5",NA,"Main_Side",NA,"Coho",61,65,2.3,"Y","N",0,2021-05-11,131,"age-1"
17,"5/11/2021","9",NA,"Main_Side",NA,"Coho",57,60,1.6,"Y","N",0,2021-05-11,131,"age-1"
19,"5/11/2021","11",NA,"Main_Side",NA,"Coho",56,61,1.9,"Y","N",0,2021-05-11,131,"age-1"
20,"5/11/2021","12",NA,"Main_Side",NA,"Coho",55,59,1.6,"Y","N",0,2021-05-11,131,"age-1"
21,"5/11/2021","13",NA,"Main_Side",NA,"Coho",65,71,2.9,"Y","N",0,2021-05-11,131,"age-1"
22,"5/11/2021","14",NA,"Main_Side","93DDF76","Coho",95,104,7.9,"Y","N",0,2021-05-11,131,"age-2"
23,"5/11/2021","15",NA,"Main_Side",NA,"Coho",64,68,2.6,"Y","N",0,2021-05-11,131,"age-1"
24,"5/11/2021","16",NA,"Main_Side",NA,"Coho",53,56,1.3,"Y","N",0,2021-05-11,131,"age-1"
25,"5/11/2021","17",NA,"Main_Side",NA,"Coho",52,57,1.6,"Y","N",0,2021-05-11,131,"age-1"
26,"5/11/2021","18",NA,"Main_Side",NA,"Coho",62,67,2.5,"Y","N",0,2021-05-11,131,"age-1"
27,"5/11/2021","19",NA,"Main_Side",NA,"Coho",62,67,2.3,"N","N",0,2021-05-11,131,"age-1"
28,"5/11/2021","20",NA,"Main_Side",NA,"Coho",50,55,1.3,"N","N",0,2021-05-11,131,"age-1"
29,"5/11/2021","21",NA,"Main_Side","93DDF36","Coho",87,93,5.7,"N","N",0,2021-05-11,131,"age-2"
32,"5/11/2021","24",NA,"Main_Side","93DDF42","Coho",91,99,7,"N","N",0,2021-05-11,131,"age-2"
34,"5/11/2021","26",NA,"Main_Side","93DDF2D","Coho",96,105,8.8,"N","N",0,2021-05-11,131,"age-2"
45,"5/11/2021","37",NA,"Main","93DDF3C","Coho",92,99,7.4,"N","N",0,2021-05-11,131,"age-2"
49,"5/14/2021","4",NA,"Seep","93DDEF0","Coho",99,108,9.5,"Y","N",0,2021-05-14,134,"age-2"
50,"5/14/2021","5",NA,"Seep",NA,"Coho",62,67,2.5,"Y","N",0,2021-05-14,134,"age-1"
51,"5/14/2021","6",NA,"Seep",NA,"Coho",62,67,2.2,"Y","N",0,2021-05-14,134,"age-1"
52,"5/14/2021","7",NA,"Seep",NA,"Coho",62,66,2.3,"Y","N",0,2021-05-14,134,"age-1"
53,"5/14/2021","8",NA,"Seep",NA,"Coho",61,66,2.3,"N","N",0,2021-05-14,134,"age-1"
54,"5/14/2021","9",NA,"Seep",NA,"Coho",57,62,2,"Y","N",0,2021-05-14,134,"age-1"
57,"5/14/2021","12",NA,"Main_Side",NA,"Coho",59,64,2.1,"Y","N",0,2021-05-14,134,"age-1"
58,"5/14/2021","13",NA,"Main_Side",NA,"Coho",53,58,1.5,"Y","N",0,2021-05-14,134,"age-1"
60,"5/14/2021","15",NA,"Main_Side",NA,"Coho",57,62,1.8,"Y","N",0,2021-05-14,134,"age-1"
61,"5/14/2021","16",NA,"Main_Side",NA,"Coho",54,59,1.8,"Y","N",0,2021-05-14,134,"age-1"
63,"5/14/2021","18",NA,"Main_Side",NA,"Coho",47,51,1,"Y","N",0,2021-05-14,134,"age-1"
64,"5/18/2021","1",NA,"Main_Side",NA,"Coho",51,56,1.4,"Y","N",0,2021-05-18,138,"age-1"
65,"5/18/2021","2",NA,"Main_Side",NA,"Coho",58,64,2,"Y","N",0,2021-05-18,138,"age-1"
68,"5/18/2021","5",NA,"Main_Side",NA,"Coho",66,70,2.7,"Y","N",0,2021-05-18,138,"age-1"
74,"5/18/2021","11",NA,"Main_Side",NA,"Coho",62,67,2.3,"Y","N",0,2021-05-18,138,"age-1"
78,"5/18/2021","15",NA,"Main_Side",NA,"Coho",97,107,9.7,"Y","N",0,2021-05-18,138,"age-2"
80,"5/18/2021","17",NA,"Main_Side",NA,"Coho",81,87,5.4,"Y","N",0,2021-05-18,138,"age-2"
84,"5/18/2021","21",NA,"Main_Side",NA,"Coho",71,77,3.7,"Y","N",0,2021-05-18,138,"age-1"
87,"5/18/2021","24",NA,"Main_Side",NA,"Coho",54,59,1.7,"Y","N",0,2021-05-18,138,"age-1"
88,"5/18/2021","25",NA,"Main_Side",NA,"Coho",56,61,2,"Y","N",0,2021-05-18,138,"age-1"
90,"5/18/2021","27",NA,"Main_Side",NA,"Coho",63,68,2.7,"Y","N",0,2021-05-18,138,"age-1"
91,"5/18/2021","28",NA,"Main_Side",NA,"Coho",91,99,8.2,"Y","N",0,2021-05-18,138,"age-2"
95,"5/18/2021","32",NA,"Seep",NA,"Coho",61,66,2.3,"Y","N",0,2021-05-18,138,"age-1"
97,"5/18/2021","34",NA,"Seep",NA,"Coho",59,63,2.2,"Y","N",0,2021-05-18,138,"age-1"
100,"5/18/2021","37",NA,"Seep",NA,"Coho",48,51,1.5,"Y","N",0,2021-05-18,138,"age-1"
101,"5/18/2021","38",NA,"Seep",NA,"Coho",62,67,2.4,"Y","N",0,2021-05-18,138,"age-1"
104,"5/18/2021","41",NA,"Seep",NA,"Coho",97,107,9.9,"Y","N",0,2021-05-18,138,"age-2"
105,"5/21/2021","1",NA,"Main_Side",NA,"Coho",55,59,1.8,"Y","N",0,2021-05-21,141,"age-1"
106,"5/21/2021","2",NA,"Main_Side",NA,"Coho",47,49,0.8,"Y","N",0,2021-05-21,141,"age-1"
107,"5/21/2021","3",NA,"Main_Side",NA,"Coho",51,55,1.4,"Y","N",0,2021-05-21,141,"age-1"
108,"5/21/2021","4",NA,"Main_Side",NA,"Coho",47,52,1.3,"Y","N",0,2021-05-21,141,"age-1"
109,"5/21/2021","5",NA,"Main_Side",NA,"Coho",55,59,1.7,"Y","N",0,2021-05-21,141,"age-1"
110,"5/21/2021","6",NA,"Main_Side",NA,"Coho",53,57,1.9,"Y","N",0,2021-05-21,141,"age-1"
115,"5/21/2021","11",NA,"Main_Side",NA,"Coho",73,79,4,"Y","N",0,2021-05-21,141,"age-1"
118,"5/21/2021","14",NA,"Main_Side",NA,"Coho",60,64,2.1,"Y","N",0,2021-05-21,141,"age-1"
119,"5/21/2021","15",NA,"Main_Side",NA,"Coho",65,71,2.9,"Y","N",0,2021-05-21,141,"age-1"
120,"5/21/2021","16",NA,"Main_Side",NA,"Coho",57,63,2,"Y","N",0,2021-05-21,141,"age-1"
128,"5/21/2021","24",NA,"Seep",NA,"Coho",57,61,2,"Y","N",0,2021-05-21,141,"age-1"
129,"5/21/2021","25",NA,"Seep",NA,"Coho",50,54,1.4,"Y","N",0,2021-05-21,141,"age-1"
130,"5/21/2021","26",NA,"Seep",NA,"Coho",52,56,1.4,"Y","N",0,2021-05-21,141,"age-1"
131,"5/21/2021","27",NA,"Seep",NA,"Coho",61,66,2.3,"Y","N",0,2021-05-21,141,"age-1"
132,"5/21/2021","28",NA,"Seep",NA,"Coho",62,67,2.5,"Y","N",0,2021-05-21,141,"age-1"
133,"5/21/2021","29",NA,"Seep",NA,"Coho",53,56,1.6,"Y","N",0,2021-05-21,141,"age-1"
134,"5/21/2021","30",NA,"Seep",NA,"Coho",55,59,2.3,"N","N",0,2021-05-21,141,"age-1"
135,"5/21/2021","31",NA,"Seep",NA,"Coho",47,51,1.2,"N","N",0,2021-05-21,141,"age-1"
138,"5/26/2021","1",NA,"Main_Side",NA,"Coho",45,48,0.9,"Y","N",0,2021-05-26,146,"age-1"
139,"5/26/2021","2",NA,"Main_Side","93DDF40","Coho",85,92,5.9,"Y","N",0,2021-05-26,146,"age-2"
140,"5/26/2021","3",NA,"Main_Side",NA,"Coho",62,68,2.2,"Y","N",0,2021-05-26,146,"age-1"
141,"5/26/2021","4",NA,"Main_Side",NA,"Coho",53,58,1.5,"Y","N",0,2021-05-26,146,"age-1"
142,"5/26/2021","5",NA,"Main_Side",NA,"Coho",55,61,1.7,"Y","N",0,2021-05-26,146,"age-1"
146,"5/26/2021","9",NA,"Main_Side",NA,"Coho",51,55,1.7,"Y","N",0,2021-05-26,146,"age-1"
147,"5/26/2021","10",NA,"Main_Side",NA,"Coho",61,66,2.1,"Y","N",0,2021-05-26,146,"age-1"
148,"5/26/2021","11",NA,"Main_Side",NA,"Coho",60,64,2.2,"Y","N",0,2021-05-26,146,"age-1"
149,"5/26/2021","12",NA,"Main_Side",NA,"Coho",53,57,1.6,"Y","N",0,2021-05-26,146,"age-1"
150,"5/26/2021","13",NA,"Seep",NA,"Coho",54,57,1.5,"Y","N",0,2021-05-26,146,"age-1"
151,"5/26/2021","14",NA,"Seep",NA,"Coho",60,64,1.8,"Y","N",0,2021-05-26,146,"age-1"
152,"5/26/2021","15",NA,"Seep",NA,"Coho",56,60,1.8,"Y","N",0,2021-05-26,146,"age-1"
153,"5/26/2021","16",NA,"Seep",NA,"Coho",51,56,1.5,"Y","N",0,2021-05-26,146,"age-1"
154,"5/28/2021","1",NA,"Seep",NA,"Coho",62,67,2.9,"Y","N",0,2021-05-28,148,"age-1"
156,"5/28/2021","3",NA,"Seep",NA,"Coho",59,63,2.3,"Y","N",0,2021-05-28,148,"age-1"
158,"5/28/2021","5",NA,"Seep",NA,"Coho",52,57,1.7,"Y","N",0,2021-05-28,148,"age-1"
159,"5/28/2021","6",NA,"Seep",NA,"Coho",52,55,1.9,"Y","N",0,2021-05-28,148,"age-1"
168,"5/28/2021","15",NA,"Main_Side",NA,"Coho",65,70,2.8,"Y","N",0,2021-05-28,148,"age-1"
174,"5/28/2021","21",NA,"Main_Side",NA,"Coho",64,70,2.6,"Y","N",0,2021-05-28,148,"age-1"
175,"5/28/2021","22",NA,"Main_Side",NA,"Coho",51,55,0.9,"Y","N",0,2021-05-28,148,"age-1"
176,"5/28/2021","23",NA,"Main_Side",NA,"Coho",59,63,2.1,"Y","N",0,2021-05-28,148,"age-1"
177,"5/28/2021","24",NA,"Main_Side",NA,"Coho",55,59,1.7,"Y","N",0,2021-05-28,148,"age-1"
186,"5/31/2021","7",NA,"Main_Seep",NA,"Coho",47,51,0.8,"Y","N",0,2021-05-31,151,"age-1"
188,"5/31/2021","9",NA,"Main_Seep",NA,"Coho",64,69,2.9,"Y","N",0,2021-05-31,151,"age-1"
190,"5/31/2021","11",NA,"Main_Seep",NA,"Coho",55,59,2,"Y","N",0,2021-05-31,151,"age-1"
196,"6/1/2021","6",1,"Main_Side",NA,"Coho",55,59,2.3,"Y","N",0,2021-06-01,152,"age-1"
197,"6/1/2021","7",1,"Main_Side",NA,"Coho",71,77,3.7,"Y","N",0,2021-06-01,152,"age-1"
199,"6/1/2021","9",1,"Main_Side",NA,"Coho",60,64,1.9,"Y","N",0,2021-06-01,152,"age-1"
201,"6/1/2021","11",2,"Main_Side",NA,"Coho",68,74,3.2,"Y","N",0,2021-06-01,152,"age-1"
