"Date","Fish_ID_Day","Habitat","PIT_tag","Species","FL","TL","Weight","date","doy","age_cluster"
2022-05-07,2,"Mainstem","E0CD008","Coho","89",94,6.3,2022-05-07,127,"age-2"
2022-05-07,3,"Mainstem","NA","Coho","61",65,2.1,2022-05-07,127,"age-1"
2022-05-07,4,"Mainstem","NA","Coho","49",53,1.6,2022-05-07,127,"age-1"
2022-05-07,5,"Mainstem/Side Channel","NA","Coho","59",65,2,2022-05-07,127,"age-1"
2022-05-07,8,"Mainstem/Side Channel","NA","Coho","49",53,1.5,2022-05-07,127,"age-1"
2022-05-07,9,"Mainstem/Side Channel","E0CCFE6","Coho","96",103,9,2022-05-07,127,"age-2"
2022-05-07,14,"Mainstem/Side Channel","NA","Coho","56",61,1.8,2022-05-07,127,"age-1"
2022-05-07,15,"Mainstem/Side Channel","NA","Coho","62",67,2.6,2022-05-07,127,"age-1"
2022-05-07,18,"Mainstem/Side Channel","NA","Coho","55",59,1.7,2022-05-07,127,"age-1"
2022-05-07,21,"Mainstem/Side Channel","NA","Coho","53",58,1.6,2022-05-07,127,"age-1"
2022-05-07,22,"Mainstem/Side Channel","NA","Coho","65",70,2.8,2022-05-07,127,"age-1"
2022-05-07,24,"Mainstem","NA","Coho","62",67,2.8,2022-05-07,127,"age-1"
2022-05-07,25,"Mainstem","NA","Coho","57",60,1.7,2022-05-07,127,"age-1"
2022-05-07,26,"Mainstem","NA","Coho","47",50,1.4,2022-05-07,127,"age-1"
2022-05-07,27,"Mainstem","NA","Coho","57",61,1.8,2022-05-07,127,"age-1"
2022-05-07,28,"Mainstem","NA","Coho","58",61,2.1,2022-05-07,127,"age-1"
2022-05-07,29,"Mainstem","E0CD00C","Coho","68",74,2.9,2022-05-07,127,"age-1"
2022-05-07,30,"Mainstem","NA","Coho","64",69,2.6,2022-05-07,127,"age-1"
2022-05-07,33,"Mainstem","E0CD013","Coho","70",75,3.6,2022-05-07,127,"age-1"
2022-05-07,35,"Mainstem","E0CCFC8","Coho","74",80,3.9,2022-05-07,127,"age-1"
2022-05-07,42,"Mainstem","NA","Coho","65",70,2.6,2022-05-07,127,"age-1"
2022-05-07,45,"Seep","E0CD010","Coho","72",78,3.8,2022-05-07,127,"age-1"
2022-05-07,46,"Seep","NA","Coho","48",51,1.3,2022-05-07,127,"age-1"
2022-05-07,48,"Seep","NA","Coho","65",70,2.6,2022-05-07,127,"age-1"
2022-05-07,50,"Seep","NA","Coho","60",66,2.5,2022-05-07,127,"age-1"
2022-05-07,51,"Seep","E0CD004","Coho","70",76,3.7,2022-05-07,127,"age-1"
2022-05-07,53,"Seep","E0CCFF7","Coho","78",85,4.4,2022-05-07,127,"age-2"
2022-05-07,54,"Seep","NA","Coho","52",55,1.4,2022-05-07,127,"age-1"
2022-05-07,55,"Seep","NA","Coho","48",50,1,2022-05-07,127,"age-1"
2022-05-07,57,"Seep","NA","Coho","60",65,2.1,2022-05-07,127,"age-1"
2022-05-07,58,"Seep","NA","Coho","60",64,2.1,2022-05-07,127,"age-1"
2022-05-07,59,"Seep","NA","Coho","60",64,1.8,2022-05-07,127,"age-1"
2022-05-07,61,"Seep","NA","Coho","54",57,1.5,2022-05-07,127,"age-1"
2022-05-07,63,"Seep","NA","Coho","58",62,2.2,2022-05-07,127,"age-1"
2022-05-07,64,"Seep","NA","Coho","57",61,2,2022-05-07,127,"age-1"
2022-05-07,65,"Seep","NA","Coho","63",64,2.4,2022-05-07,127,"age-1"
2022-05-07,66,"Seep","NA","Coho","59",63,2,2022-05-07,127,"age-1"
2022-05-07,67,"Seep","NA","Coho","64",70,2.6,2022-05-07,127,"age-1"
2022-05-07,68,"Seep","E0CCFF5","Coho","68",73,3,2022-05-07,127,"age-1"
2022-05-29,1,"Seep","NA","Coho","59",63,2.5,2022-05-29,149,"age-1"
2022-05-29,4,"Seep","NA","Coho","56",61,2.3,2022-05-29,149,"age-1"
2022-05-29,5,"Seep","NA","Coho","51",55,1.4,2022-05-29,149,"age-1"
2022-05-29,6,"Seep","NA","Coho","59",63,2.3,2022-05-29,149,"age-1"
2022-05-29,7,"Seep","NA","Coho","59",64,2.4,2022-05-29,149,"age-1"
